"avg_price","category_nodes","yt_followers","sales_count","@timestamp","ig_followers","rank_num","sales_total","rank_date","sales_inc","tw_followers","fb_followers","pin_followers","tt_followers","category_id","last_rank_num","country_code","products_total","shop_id","ads_7_count","shop_domain","ads_30_count"
"19.18","[]","0","1105","2022-11-04T15:05:00.812Z","0","361","4401","2022-10-31","1105","0","0","0","0","0","0","FR","273","7365416","0","www.captain-plaisir.com","0"
"34.99","[]","0","1104","2022-11-04T15:05:01.368Z","361182","362","1139","2022-10-31","1104","0","0","0","0","0","0","CA","3","7696257","0","zoaenergy.ca","0"
"37.8","[11064,11765,11828]","0","1101","2022-11-04T15:05:02.968Z","0","363","1394","2022-10-31","1101","0","0","0","0","0","0","US","105","6968235","0","candlepremiums.com","0"
"79.97","[]","0","1658","2022-11-04T15:04:59.157Z","0","364","4154","2022-10-31","1094","0","0","0","0","0","780","US","1084","6888674","0","tinyarmsllc.com","0"
"36.62","[]","0","1087","2022-11-04T15:05:02.910Z","0","365","9457","2022-10-31","1087","0","0","0","0","0","0","GB","267","7679640","0","lilliantaylor.co.uk","0"
"21.54","[]","0","1206","2022-11-04T15:05:01.898Z","0","366","2220","2022-10-31","1086","0","0","0","0","0","0","GB","222","7213698","0","huskyvapes.com","0"
"308.11","[11064]","0","1086","2022-11-04T15:05:02.448Z","0","367","1409","2022-10-31","1086","0","0","0","0","0","0","AU","219","7352922","0","greenzoneaustralia.com.au","0"
"584.96","[]","0","3504","2022-11-04T15:05:01.373Z","1270","368","7038","2022-10-31","1085","0","0","0","0","0","158","IN","274","6890885","0","www.klamotten.co.in","29"
"37.13","[]","0","1701","2022-11-04T15:05:01.371Z","140","369","4166","2022-10-31","1085","0","0","0","0","0","736","US","402","6861069","0","madamethick.com","0"
"14.45","[]","0","1392","2022-11-04T15:05:00.756Z","0","370","2579","2022-10-31","1084","0","0","0","0","0","0","FR","169","7166151","0","www.cloudvapor.com","0"
"90.92","[]","0","1130","2022-11-04T15:05:02.448Z","0","371","1811","2022-10-31","1084","0","0","0","0","0","0","US","255","7181533","0","jubalinstruments.com","0"
"386.22","[]","0","1180","2022-11-04T15:05:01.374Z","40558","372","1968","2022-10-31","1083","0","0","0","0","0","0","BR","121","7280161","19","useshelter.com.br","31"
"68.6","[]","0","1355","2022-11-04T15:05:02.986Z","0","373","1850","2022-10-31","1079","0","0","0","0","0","0","EG","50","7207727","0","veginneg.com","0"
"37.27","[]","0","1273","2022-11-04T15:05:00.831Z","0","374","3659","2022-10-31","1077","0","0","0","0","0","0","US","929","7135442","0","nicolemonae.com","0"
"38.75","[]","0","1075","2022-11-04T15:05:02.471Z","0","375","1800","2022-10-31","1075","0","0","0","0","0","0","US","217","7486907","0","allisonluxury.com","0"
"39.71","[]","0","1071","2022-11-04T15:05:01.371Z","0","376","1695","2022-10-31","1071","0","0","0","0","0","0","US","251","7388638","0","www.thewesthavenco.com","0"
"18.16","[]","0","1066","2022-11-04T15:05:01.895Z","0","377","1683","2022-10-31","1066","0","0","0","0","0","0","GB","654","7362630","0","www.buygiftsonline.net","0"
"33.81","[12552]","0","1763","2022-11-04T15:05:02.968Z","0","378","4613","2022-10-31","1064","0","0","0","0","0","668","US","237","7035438","0","flikit.shop","0"
